symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
SUI,golden_cross,0,0.8,16.1,,126.02,125.93,True,False,130.79,False,False,,success
VNOM,golden_cross,0,2.4,7.5,,40.04,40.02,True,False,44.25,False,False,,success
GOVI,golden_cross,0,0.4,,,27.65,27.65,True,False,28.035,False,False,,success
SJNK,death_cross,0,3.6,,,25.36,25.36,False,True,25.31,False,False,,success
UL,golden_cross,0,3.5,163.0,,67.98,67.89,True,False,74.59,False,False,,success
EQIX,golden_cross,0,0.6,94.0,,810.96,810.18,True,False,956.19,False,False,,success
MCO,death_cross,0,1.2,76.1,,489.71,490.1,False,True,426.44,False,False,,success
ABNB,death_cross,0,4.8,72.8,,127.85,128.04,False,True,121.35,False,False,,success
TTWO,death_cross,0,2.6,35.9,,231.23,232.11,False,True,193.67,False,False,,success
TPL,golden_cross,0,0.4,29.8,,338.02,336.95,True,False,432.31,False,False,,success
CSL,golden_cross,0,0.5,17.1,,358.6,358.17,True,False,409.04,False,False,,success
AFRM,death_cross,0,7.1,16.6,,67.3,67.81,False,True,49.81,False,False,,success
ADC,golden_cross,0,1.5,9.4,,73.34,73.22,True,False,78.08,False,False,,success
TMHC,golden_cross,0,1.1,6.7,,62.92,62.74,True,False,68.86,False,False,,success
PONY,death_cross,0,4.0,6.1,,15.13,15.16,False,True,14.07,False,False,,success
BTCZ,golden_cross,0,21.3,,,4.53,4.5,True,False,5.8,False,False,,success
DFAR,golden_cross,0,1.7,,,23.59,23.57,True,False,24.96,False,False,,success
APPX,death_cross,0,2.8,,,24.29,24.53,False,True,9.58,False,False,,success
BCI,death_cross,0,1.7,,,21.35,21.36,False,True,20.96,False,False,,success
