symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
ARM,golden_st,0,7.2,139.9,122.61,122.25,133.73,129.26
MDT,death_st,0,9.2,123.9,98.93,99.03,95.24,97.03
SO,golden,0,7.0,105.6,92.57,90.78,90.63,96.35
NU,death_st,0,56.3,80.7,16.95,16.99,15.5,15.06
HMC,death,0,1.1,39.1,30.69,30.64,30.65,30.12
HEI.A,death_st,0,0.3,35.3,254.54,255.13,244.44,237.87
TSCO,death_st,0,7.4,27.4,53.03,53.08,54.4,51.18
LEN,death_st,0,2.7,27.3,115.67,115.87,121.17,112.0
AWK,golden_st,0,1.8,26.2,130.53,130.38,134.41,134.32
OMC,golden_st,0,5.5,25.7,76.9,76.48,77.79,84.71
EXPD,death_st,0,1.9,19.0,151.99,152.24,136.51,144.72
TLN,golden_st,0,0.9,17.9,371.15,370.35,345.24,390.05
ESS,golden_st,0,0.6,16.8,255.98,255.92,264.69,262.74
APTV,death_st,0,2.3,16.3,79.96,80.0,76.5,77.04
DOC,golden_st,0,10.1,12.2,17.12,17.12,17.82,17.51
JKHY,death,0,1.1,11.3,165.57,171.48,171.66,161.08
PAG,death_st,0,0.3,10.5,164.06,164.13,165.61,157.7
BIO,death,0,0.3,7.3,282.95,294.34,294.59,275.21
MTDR,golden,0,1.9,6.2,48.07,45.83,45.82,49.62
LPX,death_st,0,1.2,5.7,87.69,87.71,89.59,83.52
ATAT,golden_st,0,1.2,5.7,38.97,38.89,36.63,40.47
XHLF,golden_st,0,0.5,,50.31,50.31,50.3,50.34
FSIG,death_st,0,0.4,,19.18,19.18,19.15,19.18
JPMpL,death_st,0,0.2,,19.9,19.9,20.07,19.89
TBIL,death_st,0,2.1,,49.94,49.94,49.93,49.84
XBIL,death_st,0,0.1,,50.12,50.12,50.11,50.025
CLIP,golden,0,0.3,,100.27,100.25,100.25,100.345
SCHQ,golden,0,0.8,,32.23,32.08,32.07,32.68
SGOV,golden,0,15.6,,100.54,100.51,100.51,100.62
