event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-01-14,KOLD,golden,53.62,70.0,-16.38,SKIP,1
2026-01-14,FIG,death,36.6,70.0,-33.4,SKIP,2
2026-01-14,EIX,golden,22.48,70.0,-47.52,SKIP,3
2026-01-14,LYV,golden,21.8,70.0,-48.2,SKIP,4
2026-01-14,UPS,golden,20.64,70.0,-49.36,SKIP,5
2026-01-14,HDB,death,17.62,70.0,-52.38,SKIP,6
2026-01-14,DFGP,death,16.23,70.0,-53.77,SKIP,7
2026-01-14,FWONA,death,15.55,70.0,-54.45,SKIP,8
2026-01-14,TUA,death,13.91,70.0,-56.09,SKIP,9
2026-01-14,CSHI,death,11.76,70.0,-58.24,SKIP,10
2026-01-14,HLN,golden,8.88,70.0,-61.12,SKIP,11
2026-01-14,SMIG,golden,5.51,70.0,-64.49,SKIP,12
