event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-04-30,USOY,golden,61.41,70.0,-8.59,SKIP,1
2026-04-30,DHI,golden,60.32,70.0,-9.68,SKIP,2
2026-04-30,VRTX,death,18.78,70.0,-51.22,SKIP,3
2026-04-30,JEPI,golden,2.0,70.0,-68.0,SKIP,4
2026-04-30,TAFI,death,0.89,70.0,-69.11,SKIP,5
2026-04-30,CARY,death,0.67,70.0,-69.33,SKIP,6
2026-04-30,BSCZ,death,0.62,70.0,-69.38,SKIP,7
2026-04-30,CLIP,golden,0.4,70.0,-69.6,SKIP,8
2026-04-30,SHV,golden,0.4,70.0,-69.6,SKIP,9
