symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
NWG,death_st,3.8,68.0,17.07,17.08,15.35,16.6
VST,golden_st,5.8,59.9,167.21,166.87,171.3,173.89
CMG,death_st,18.3,49.6,37.89,37.92,41.67,37.22
BIDU,death_st,2.6,43.0,137.73,138.15,120.26,124.44
QSR,golden_st,2.9,24.2,68.86,68.78,68.0,71.71
ZM,death_st,4.7,22.4,86.95,87.32,83.2,73.94
BEKE,death_st,4.7,18.6,17.47,17.5,18.08,16.45
ULS,golden_st,1.0,16.9,77.07,76.77,72.93,83.97
CELH,golden_st,4.9,14.0,49.39,49.3,47.4,53.61
GH,death_st,2.1,12.7,102.55,103.02,80.54,93.9
CBSH,death_st,1.4,7.9,53.22,53.3,55.01,50.99
SIRI,golden_st,5.7,7.2,21.16,21.11,21.96,21.96
M,death_st,6.4,5.4,21.25,21.33,18.59,19.78
BMA,death_st,0.3,5.2,89.38,89.46,80.65,77.18
WEX,death_st,0.5,5.2,154.2,154.42,156.78,149.19
GNTX,death_st,2.5,5.1,23.93,23.95,24.65,23.4
THO,death_st,0.6,5.1,110.05,110.25,104.01,96.13
BILZ,golden_st,0.3,,100.91,100.9,100.96,101.0
EDGF,golden_st,0.1,,24.79,24.79,24.83,24.89
FTGC,golden_st,0.6,,24.93,24.92,25.13,25.53
QQQE,golden_st,0.3,,103.26,103.24,100.24,103.98
SPMO,golden_st,1.5,,119.35,119.35,115.11,119.47
TAIL,golden_st,0.3,,11.58,11.58,11.74,11.715
VTIP,golden_st,3.1,,49.73,49.73,49.84,49.9
XLC,golden_st,7.8,,116.4,116.32,111.82,118.05
XONE,golden_st,0.1,,49.58,49.58,49.58,49.635
BUXX,death_st,0.3,,20.3,20.3,20.32,20.26
EPI,death_st,0.8,,45.58,45.58,45.6,45.34
FXO,death_st,0.8,,60.36,60.43,58.45,58.95
NVDL,death_st,11.2,,86.08,86.46,81.42,76.49
QDPL,death_st,0.2,,42.65,42.65,41.42,42.29
RETL,death_st,0.4,,9.78,9.8,9.24,9.48
SPXL,death_st,2.9,,222.54,222.54,204.44,219.73
SVXY,death_st,2.5,,53.3,53.3,50.2,52.28
SYFI,death_st,0.2,,35.97,35.97,35.9,35.89
UPRO,death_st,4.5,,116.77,116.82,107.46,115.31
USHY,death_st,12.8,,37.49,37.49,37.39,37.39
JPMpL,golden_st,0.2,,19.9,19.9,20.08,19.93
AMZN,death,57.3,2232.0,213.87,221.89,222.24,210.0
MSI,golden,1.3,78.2,445.37,422.54,422.48,482.26
A,death,2.3,34.2,127.47,132.84,133.07,121.38
IQV,death,2.7,29.0,183.66,201.25,201.75,178.81
WRB,golden,2.4,27.0,70.55,70.4,70.38,71.7
LPLA,death,1.1,25.6,335.74,349.94,350.98,300.38
OKLO,death,10.3,10.8,70.3,79.22,79.43,62.95
MASI,golden,1.8,9.4,158.69,149.21,148.73,175.35
EMN,golden,1.8,8.6,75.89,72.11,72.1,75.51
BNDW,golden,0.1,,69.41,69.28,69.28,69.905
TDTT,golden,0.3,,24.18,24.16,24.16,24.27
ULST,golden,0.1,,40.59,40.58,40.58,40.63
BSJT,death,0.1,,21.41,21.47,21.47,21.25
HPEpC,death,0.2,,60.19,61.75,61.82,59.0
SHYG,death,2.1,,42.86,42.9,42.9,42.76
SGOV,golden,16.1,,100.55,100.52,100.52,100.64
