symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
NWG,death_st,0,3.8,68.0,17.07,17.08,15.35,False,False,16.6,False,True,0.0,success
VST,golden_st,0,5.8,59.9,167.21,166.87,171.3,False,False,173.89,True,False,0.0,success
CMG,death_st,0,18.3,49.6,37.89,37.92,41.67,False,False,37.22,False,True,0.0,success
BIDU,death_st,0,2.6,43.0,137.73,138.15,120.26,False,False,124.44,False,True,0.0,success
QSR,golden_st,0,2.9,24.2,68.86,68.78,68.0,False,False,71.71,True,False,0.0,success
ZM,death_st,0,4.7,22.4,86.95,87.32,83.2,False,False,73.94,False,True,0.0,success
BEKE,death_st,0,4.7,18.6,17.47,17.5,18.08,False,False,16.45,False,True,0.0,success
ULS,golden_st,0,1.0,16.9,77.07,76.77,72.93,False,False,83.97,True,False,0.0,success
CELH,golden_st,0,4.9,14.0,49.39,49.3,47.4,False,False,53.61,True,False,0.0,success
GH,death_st,0,2.1,12.7,102.55,103.02,80.54,False,False,93.9,False,True,0.0,success
CBSH,death_st,0,1.4,7.9,53.22,53.3,55.01,False,False,50.99,False,True,0.0,success
SIRI,golden_st,0,5.7,7.2,21.16,21.11,21.96,False,False,21.96,True,False,0.0,success
M,death_st,0,6.4,5.4,21.25,21.33,18.59,False,False,19.78,False,True,0.0,success
BMA,death_st,0,0.3,5.2,89.38,89.46,80.65,False,False,77.18,False,True,0.0,success
WEX,death_st,0,0.5,5.2,154.2,154.42,156.78,False,False,149.19,False,True,0.0,success
GNTX,death_st,0,2.5,5.1,23.93,23.95,24.65,False,False,23.4,False,True,0.0,success
THO,death_st,0,0.6,5.1,110.05,110.25,104.01,False,False,96.13,False,True,0.0,success
BILZ,golden_st,0,0.3,,100.91,100.9,100.96,False,False,101.0,True,False,0.0,success
EDGF,golden_st,0,0.1,,24.79,24.79,24.83,False,False,24.89,True,False,0.0,success
FTGC,golden_st,0,0.6,,24.93,24.92,25.13,False,False,25.53,True,False,0.0,success
QQQE,golden_st,0,0.3,,103.26,103.24,100.24,False,False,103.98,True,False,0.0,success
SPMO,golden_st,0,1.5,,119.35,119.35,115.11,False,False,119.47,True,False,0.0,success
TAIL,golden_st,0,0.3,,11.58,11.58,11.74,False,False,11.715,True,False,0.0,success
VTIP,golden_st,0,3.1,,49.73,49.73,49.84,False,False,49.9,True,False,0.0,success
XLC,golden_st,0,7.8,,116.4,116.32,111.82,False,False,118.05,True,False,0.0,success
XONE,golden_st,0,0.1,,49.58,49.58,49.58,False,False,49.635,True,False,0.0,success
BUXX,death_st,0,0.3,,20.3,20.3,20.32,False,False,20.26,False,True,0.0,success
EPI,death_st,0,0.8,,45.58,45.58,45.6,False,False,45.34,False,True,0.0,success
FXO,death_st,0,0.8,,60.36,60.43,58.45,False,False,58.95,False,True,0.0,success
NVDL,death_st,0,11.2,,86.08,86.46,81.42,False,False,76.49,False,True,0.0,success
QDPL,death_st,0,0.2,,42.65,42.65,41.42,False,False,42.29,False,True,0.0,success
RETL,death_st,0,0.4,,9.78,9.8,9.24,False,False,9.48,False,True,0.0,success
SPXL,death_st,0,2.9,,222.54,222.54,204.44,False,False,219.73,False,True,0.0,success
SVXY,death_st,0,2.5,,53.3,53.3,50.2,False,False,52.28,False,True,0.0,success
SYFI,death_st,0,0.2,,35.97,35.97,35.9,False,False,35.89,False,True,0.0,success
UPRO,death_st,0,4.5,,116.77,116.82,107.46,False,False,115.31,False,True,0.0,success
USHY,death_st,0,12.8,,37.49,37.49,37.39,False,False,37.39,False,True,0.0,success
JPMpL,golden_st,0,0.2,,19.9,19.9,20.08,False,False,19.93,True,False,0.0,success
AMZN,death,0,57.3,2232.0,213.87,221.89,222.24,False,True,210.0,False,False,,success
MSI,golden,0,1.3,78.2,445.37,422.54,422.48,True,False,482.26,False,False,,success
A,death,0,2.3,34.2,127.47,132.84,133.07,False,True,121.38,False,False,,success
IQV,death,0,2.7,29.0,183.66,201.25,201.75,False,True,178.81,False,False,,success
WRB,golden,0,2.4,27.0,70.55,70.4,70.38,True,False,71.7,False,False,,success
LPLA,death,0,1.1,25.6,335.74,349.94,350.98,False,True,300.38,False,False,,success
OKLO,death,0,10.3,10.8,70.3,79.22,79.43,False,True,62.95,False,False,,success
MASI,golden,0,1.8,9.4,158.69,149.21,148.73,True,False,175.35,False,False,,success
EMN,golden,0,1.8,8.6,75.89,72.11,72.1,True,False,75.51,False,False,,success
BNDW,golden,0,0.1,,69.41,69.28,69.28,True,False,69.905,False,False,,success
TDTT,golden,0,0.3,,24.18,24.16,24.16,True,False,24.27,False,False,,success
ULST,golden,0,0.1,,40.59,40.58,40.58,True,False,40.63,False,False,,success
BSJT,death,0,0.1,,21.41,21.47,21.47,False,True,21.25,False,False,,success
HPEpC,death,0,0.2,,60.19,61.75,61.82,False,True,59.0,False,False,,success
SHYG,death,0,2.1,,42.86,42.9,42.9,False,True,42.76,False,False,,success
SGOV,golden,0,16.1,,100.55,100.52,100.52,True,False,100.64,False,False,,success
