symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
GOOGL,golden_st,28.6,3837.7,306.84,306.8,275.28,332.91
MS,golden_st,6.9,280.9,170.03,169.47,161.97,183.34
SAN,golden_st,14.8,175.8,11.67,11.64,10.52,12.56
SMFG,golden_st,2.4,134.6,20.58,20.56,18.72,21.27
SNY,golden_st,3.5,112.5,46.66,46.63,48.07,47.64
PNC,golden_st,2.6,89.2,213.76,213.43,205.04,221.2
USB,golden_st,10.4,86.4,53.92,53.89,51.44,56.09
REGN,death_st,0.6,79.2,758.32,758.45,706.51,755.51
MFC,golden_st,2.1,61.2,35.52,35.41,34.19,37.85
MPLX,death_st,1.7,57.0,56.78,56.82,54.26,55.01
CARR,golden_st,6.7,52.9,59.28,59.02,60.77,64.66
FERG,golden_st,1.3,51.5,241.31,240.64,232.71,258.86
KGC,golden_st,10.5,40.4,31.76,31.7,26.71,34.01
IBKR,golden_st,4.8,31.7,70.03,69.86,65.79,77.1
FTAI,golden_st,1.5,25.8,252.43,252.25,207.91,269.47
AER,golden_st,1.4,23.7,141.57,141.32,132.09,148.97
RGLD,golden_st,1.2,22.6,258.83,258.3,224.26,271.52
IHG,golden_st,0.2,21.1,136.77,136.4,131.31,144.24
DKS,golden_st,1.3,18.9,201.65,201.64,207.86,216.24
TLK,death,0.8,18.6,18.77,19.39,19.41,18.42
RS,golden_st,0.3,16.7,311.29,311.05,303.54,323.3
EWBC,golden_st,1.2,15.8,111.16,110.98,107.94,117.89
NDSN,golden_st,0.3,15.4,271.57,271.42,251.24,279.01
CNH,golden_st,16.5,14.4,11.13,11.12,11.19,11.49
KSPI,golden_st,0.6,14.2,75.27,74.89,79.5,82.34
EVR,golden,0.7,13.4,312.86,313.32,312.09,357.61
EG,golden_st,0.3,13.3,329.08,328.74,334.09,341.24
IAG,golden_st,7.3,11.7,19.45,19.43,15.35,20.62
ORI,golden,1.8,10.0,40.55,40.88,40.87,41.37
HBM,golden_st,5.5,9.7,22.4,22.37,18.32,25.22
LEVI,golden_st,3.1,8.7,20.34,20.27,20.38,22.39
TX,golden_st,0.2,8.2,40.61,40.54,37.69,43.21
PRI,golden_st,0.2,8.2,257.22,256.72,262.63,267.44
EAT,golden_st,1.1,6.8,148.59,148.08,146.91,159.25
TAL,golden_st,2.9,6.7,11.21,11.19,11.15,11.67
RHP,golden_st,0.5,6.4,95.93,95.69,96.32,102.02
FNB,golden_st,8.3,6.3,17.08,17.05,16.55,17.73
RIOT,golden_st,17.1,6.3,15.08,15.02,14.7,18.12
LTH,golden_st,3.4,6.2,27.25,27.23,27.36,27.98
VSEC,golden_st,0.8,6.1,199.46,198.64,177.93,222.33
COGT,golden_st,2.4,5.9,36.24,36.24,28.01,36.49
MTG,golden_st,1.8,5.8,26.75,26.75,26.98,27.28
WEX,golden,0.5,5.5,157.93,156.69,156.46,167.99
AMZU,golden_st,2.8,,30.24,30.16,33.68,38.0
AMZZ,golden_st,0.2,,27.58,27.33,29.5,34.8
AVES,golden_st,0.1,,61.71,61.6,58.51,64.61
