symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
ABBV,golden_st,0,6.4,384.7,211.47,211.41,213.01,217.72
CVX,death_st,1,10.3,363.4,187.84,188.3,174.52,182.46
HON,golden_st,0,4.3,150.7,223.73,223.36,216.92,237.86
COP,death_st,0,7.9,138.9,119.27,119.49,108.6,113.98
CB,death_st,1,1.7,120.9,323.31,324.27,310.34,311.73
UPS,golden,0,6.2,90.7,101.73,102.17,102.07,106.69
MCK,death,0,1.3,89.2,770.68,808.39,810.39,742.44
AMT,golden_st,4,3.0,87.1,181.24,179.9,184.74,186.96
MET,golden,4,3.4,53.2,80.76,78.32,77.67,82.69
BSBR,death,1,0.9,40.7,5.59,5.81,5.82,5.44
AMP,death_st,4,0.7,40.1,457.68,461.03,478.07,445.71
KB,death_st,0,0.2,36.0,104.86,104.88,94.62,101.44
HMC,golden_st,0,1.9,35.0,25.69,25.67,28.03,26.99
PAYX,golden_st,0,3.2,34.7,93.9,93.83,107.89,96.98
ONC,death,2,0.2,29.9,301.91,305.24,306.43,287.92
WSM,golden_st,0,1.2,24.0,188.32,187.92,189.88,203.57
RCI,golden_st,0,1.3,20.8,36.63,36.54,35.86,38.55
ITT,death_st,4,0.7,17.4,200.25,201.47,187.5,195.0
DECK,golden_st,0,2.1,15.8,104.4,103.96,108.31,113.85
CLH,death_st,0,0.6,14.9,292.28,292.4,266.63,281.03
WSO,death,0,0.4,14.9,395.37,400.45,401.2,367.1
HAS,death_st,4,2.1,12.2,91.46,92.61,86.25,86.17
CCK,death,1,1.2,10.6,98.46,100.81,101.0,95.08
DOCU,golden_st,0,3.0,10.2,48.42,48.19,58.43,52.52
AYI,golden_st,0,0.3,9.2,289.9,289.6,307.21,305.11
ZWS,death_st,0,1.2,7.8,48.62,48.64,46.49,47.0
NFG,death,0,0.9,7.3,81.72,84.77,84.79,77.25
AXS,death,1,0.6,7.0,98.62,99.75,99.91,94.93
FSS,death_st,0,0.5,6.5,114.02,114.14,112.32,106.7
MSA,death,0,0.3,6.4,169.84,171.47,171.58,165.8
M,golden_st,4,5.2,5.7,20.11,19.68,18.77,21.76
ESNT,death,0,0.7,5.3,60.56,60.82,60.88,57.89
MGY,death_st,0,2.3,5.1,28.82,28.88,26.52,27.36
IEP,death_st,4,1.1,5.0,7.75,7.83,8.08,7.44
ARKF,golden_st,1,0.2,,41.55,41.44,44.09,43.1
ITA,golden_st,0,1.0,,225.7,225.51,215.68,235.44
MOAT,golden_st,2,0.9,,101.18,100.88,100.36,103.72
PPA,golden_st,0,0.3,,170.73,170.58,162.11,177.59
YMAX,golden_st,0,1.7,,8.51,8.49,10.06,8.77
FLBR,death_st,4,0.3,,23.43,23.67,21.52,22.48
KIE,death_st,1,1.2,,56.73,56.83,57.58,55.16
