event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-05-20,UEC,death_st,55.48,75.0,-19.52,SKIP,1
2026-05-20,NXE,death_st,53.28,75.0,-21.72,SKIP,2
2026-05-20,SMMT,death_st,52.3,75.0,-22.7,SKIP,3
2026-05-20,CCJ,death_st,50.38,75.0,-24.62,SKIP,4
2026-05-20,ICL,golden,48.78,70.0,-21.22,SKIP,5
2026-05-20,BVN,death_st,43.0,75.0,-32.0,SKIP,6
2026-05-20,EIX,golden_st,40.67,75.0,-34.33,SKIP,7
2026-05-20,FIVE,death_st,40.43,75.0,-34.57,SKIP,8
2026-05-20,WMG,golden,39.86,70.0,-30.14,SKIP,9
2026-05-20,LI,death_st,38.89,75.0,-36.11,SKIP,10
2026-05-20,BLD,death_st,33.95,75.0,-41.05,SKIP,11
2026-05-20,SNPS,golden,32.9,70.0,-37.1,SKIP,12
2026-05-20,GATX,death_st,31.18,75.0,-43.82,SKIP,13
2026-05-20,TEX,death_st,30.48,75.0,-44.52,SKIP,14
2026-05-20,FTAI,death_st,27.56,75.0,-47.44,SKIP,15
2026-05-20,TKC,death_st,27.5,75.0,-47.5,SKIP,16
2026-05-20,CIBR,golden,22.52,70.0,-47.48,SKIP,17
2026-05-20,MSI,death,20.36,70.0,-49.64,SKIP,18
2026-05-20,EWZ,death_st,20.19,75.0,-54.81,SKIP,19
2026-05-20,FITB,death_st,20.19,75.0,-54.81,SKIP,20
2026-05-20,AEE,death_st,19.93,75.0,-55.07,SKIP,21
2026-05-20,SYF,death_st,19.87,75.0,-55.13,SKIP,22
2026-05-20,PKG,death_st,19.42,75.0,-55.58,SKIP,23
2026-05-20,UHAL.B,death_st,19.42,75.0,-55.58,SKIP,24
2026-05-20,USB,death_st,19.19,75.0,-55.81,SKIP,25
2026-05-20,FSEC,death,18.43,70.0,-51.57,SKIP,26
2026-05-20,SCMB,death,18.43,70.0,-51.57,SKIP,27
2026-05-20,EQR,golden,17.85,70.0,-52.15,SKIP,28
2026-05-20,XEL,death_st,17.49,75.0,-57.51,SKIP,29
2026-05-20,SUI,death,17.36,70.0,-52.64,SKIP,30
2026-05-20,DE,death_st,16.93,75.0,-58.07,SKIP,31
2026-05-20,WH,death_st,13.78,75.0,-61.22,SKIP,32
2026-05-20,TDY,death_st,13.2,75.0,-61.8,SKIP,33
2026-05-20,IBDR,golden,12.0,70.0,-58.0,SKIP,34
2026-05-20,FLTR,golden,10.82,70.0,-59.18,SKIP,35
