symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
APO,golden_cross,3.3,84.9,,136.43,136.23,148.89
DTE,death_cross,1.7,26.5,,134.13,134.26,128.31
RRX,golden_cross,0.9,9.3,,142.8,142.79,143.18
OGE,death_cross,1.5,8.8,,44.18,44.2,43.03
BROS,golden_cross,3.3,8.2,,58.65,58.65,64.38
GKOS,golden_cross,1.0,6.7,,99.71,99.57,117.09
ETSY,death_cross,3.6,5.4,,57.68,57.72,55.73
XLB,golden_cross,12.5,,,44.29,44.26,45.67
DFGR,death_cross,0.5,,,26.89,26.89,26.22
STN,death_cross,0.3,10.7,,100.14,100.21,94.36
OLLI,death_cross,1.2,6.6,,119.86,120.09,110.46
