symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
PCG,golden_cross,23.4,39.9,,16.01,16.0,18.02
SW,golden_cross,6.7,26.9,,42.56,42.48,50.82
AMCR,golden_cross,6.5,23.1,,44.61,44.48,49.56
IFF,golden_cross,1.8,21.3,,71.44,71.37,82.74
JOBY,death_cross,31.0,9.6,,12.87,12.87,9.99
NNN,golden_cross,1.6,8.4,,41.88,41.86,44.79
AAON,golden_cross,1.0,8.2,,91.4,91.23,102.78
VNOM,golden_cross,2.4,7.5,,40.2,40.1,44.0
MTH,golden_cross,1.1,5.5,,72.97,72.9,80.15
BLV,golden_cross,0.9,,,70.08,70.06,71.2
DFGP,golden_cross,0.2,,,54.57,54.57,54.97
DUSB,golden_cross,0.3,,,50.76,50.76,50.85
PFFD,golden_cross,0.6,,,19.28,19.28,19.47
TLH,golden_cross,1.3,,,102.3,102.25,104.03
XLRE,golden_cross,10.0,,,41.51,41.5,43.94
TMV,death_cross,1.1,,,36.15,36.19,33.94
SJNK,death_cross,3.5,,,25.36,25.36,25.29
