event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2026-03-18,MUNI,death_st,99.35,75.0,24.35,LOOK,1
2026-03-18,PHG,death_st,97.63,75.0,22.63,LOOK,2
2026-03-18,SVIX,death,96.99,70.0,26.99,LOOK,3
2026-03-18,QVCGP,death_st,96.63,75.0,21.63,LOOK,4
2026-03-18,RETL,death,96.0,70.0,26.0,LOOK,5
2026-03-18,TECL,death,91.26,70.0,21.26,LOOK,6
2026-03-18,IBP,death_st,90.33,75.0,15.33,LOOK,7
2026-03-18,MIDD,death_st,89.8,75.0,14.8,LOOK,8
2026-03-18,AVGX,death,88.98,70.0,18.98,LOOK,9
2026-03-18,URA,death_st,88.84,75.0,13.84,LOOK,10
2026-03-18,NIKL,death_st,81.18,75.0,6.18,LOOK,11
2026-03-18,TOL,death_st,78.71,75.0,3.71,LOOK,12
2026-03-18,LABU,death_st,74.84,75.0,-0.16,SKIP,13
2026-03-18,MNST,death_st,74.52,75.0,-0.48,SKIP,14
2026-03-18,TKO,death_st,73.99,75.0,-1.01,SKIP,15
2026-03-18,MUST,death_st,71.01,75.0,-3.99,SKIP,16
2026-03-18,WSML,death_st,70.26,75.0,-4.74,SKIP,17
2026-03-18,TFII,death_st,70.04,75.0,-4.96,SKIP,18
2026-03-18,AXTA,death,68.03,70.0,-1.97,SKIP,19
2026-03-18,BBD,death_st,67.06,75.0,-7.94,SKIP,20
2026-03-18,IYJ,death_st,65.91,75.0,-9.09,SKIP,21
2026-03-18,RLI,death_st,65.62,75.0,-9.38,SKIP,22
2026-03-18,CE,golden,63.14,70.0,-6.86,SKIP,23
2026-03-18,CCI,death_st,56.54,75.0,-18.46,SKIP,24
2026-03-18,BBJP,death_st,56.27,75.0,-18.73,SKIP,25
2026-03-18,MTD,death,56.08,70.0,-13.92,SKIP,26
2026-03-18,DFAT,death_st,55.84,75.0,-19.16,SKIP,27
2026-03-18,AAON,death,55.32,70.0,-14.68,SKIP,28
2026-03-18,MMIT,death_st,53.57,75.0,-21.43,SKIP,29
2026-03-18,BUFD,death_st,52.5,75.0,-22.5,SKIP,30
2026-03-18,PG,death,52.24,70.0,-17.76,SKIP,31
2026-03-18,TMO,death,49.49,70.0,-20.51,SKIP,32
2026-03-18,VCRM,death_st,46.42,75.0,-28.58,SKIP,33
2026-03-18,DFSD,death_st,44.83,75.0,-30.17,SKIP,34
2026-03-18,SW,death_st,44.26,75.0,-30.74,SKIP,35
2026-03-18,EFA,death_st,41.87,75.0,-33.13,SKIP,36
2026-03-18,IDEV,death_st,40.78,75.0,-34.22,SKIP,37
2026-03-18,EDIV,death_st,40.27,75.0,-34.73,SKIP,38
2026-03-18,SEIE,death_st,40.06,75.0,-34.94,SKIP,39
2026-03-18,CARY,death_st,36.86,75.0,-38.14,SKIP,40
2026-03-18,ABVX,golden_st,35.94,75.0,-39.06,SKIP,41
2026-03-18,SYF,death,35.22,70.0,-34.78,SKIP,42
2026-03-18,SAIA,death_st,34.56,75.0,-40.44,SKIP,43
2026-03-18,MMIN,death_st,32.9,75.0,-42.1,SKIP,44
2026-03-18,GSIE,death_st,31.36,75.0,-43.64,SKIP,45
2026-03-18,IEFA,death_st,28.77,75.0,-46.23,SKIP,46
2026-03-18,JIRE,death_st,27.91,75.0,-47.09,SKIP,47
2026-03-18,SUB,death_st,27.75,75.0,-47.25,SKIP,48
2026-03-18,ALGM,death_st,25.96,75.0,-49.04,SKIP,49
2026-03-18,TAFI,death_st,25.76,75.0,-49.24,SKIP,50
2026-03-18,ABFL,death_st,25.75,75.0,-49.25,SKIP,51
2026-03-18,ALLE,death,23.05,70.0,-46.95,SKIP,52
2026-03-18,BBIN,death_st,21.98,75.0,-53.02,SKIP,53
2026-03-18,CSL,death_st,20.31,75.0,-54.69,SKIP,54
2026-03-18,CARR,death_st,19.87,75.0,-55.13,SKIP,55
2026-03-18,CGDV,death_st,18.03,75.0,-56.97,SKIP,56
2026-03-18,BUFZ,death_st,18.02,75.0,-56.98,SKIP,57
2026-03-18,CPAY,death_st,17.46,75.0,-57.54,SKIP,58
2026-03-18,VSGX,death_st,15.89,75.0,-59.11,SKIP,59
2026-03-18,SCZ,death_st,13.32,75.0,-61.68,SKIP,60
2026-03-18,COPJ,death_st,13.01,75.0,-61.99,SKIP,61
2026-03-18,ROBO,death_st,11.38,75.0,-63.62,SKIP,62
2026-03-18,NVDD,golden_st,11.27,75.0,-63.73,SKIP,63
2026-03-18,NULV,death_st,11.23,75.0,-63.77,SKIP,64
