symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
MCD,death,3.2,207.8,302.94,309.54,310.09,290.08
NXPI,golden,3.2,58.2,224.85,217.62,217.34,289.25
DKS,golden,1.1,20.2,216.88,209.95,209.93,220.0
ETSY,golden,3.0,6.0,60.19,57.04,56.85,69.6
AMZZ,golden,0.2,,33.56,30.61,30.44,38.69
CLOA,golden,0.8,,51.84,51.81,51.81,51.935
QDVO,golden,0.2,,28.63,28.29,28.29,29.18
REM,golden,0.6,,22.51,22.31,22.31,22.69
TILL,golden,0.2,,17.94,17.77,17.76,18.59
AGG,death,11.1,,99.44,99.62,99.64,98.96
EBND,death,0.4,,21.11,21.14,21.15,20.91
GBND,death,0.3,,50.71,50.77,50.77,50.49
JEPI,death,5.2,,57.32,57.51,57.51,57.12
PMMF,death,0.1,,100.31,100.33,100.33,100.25
SCCR,death,0.3,,25.7,25.75,25.75,25.59
