symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
TD,golden_st,2.5,158.9,94.21,94.19,84.96,95.22
MCK,death_st,0.8,108.3,896.32,896.77,816.59,884.28
BK,golden_st,3.6,84.1,117.6,117.58,109.48,122.13
RCL,death,2.7,74.0,278.94,288.14,288.47,273.59
GWW,golden_st,0.3,52.9,1085.63,1085.36,1048.9,1117.45
VIK,golden_st,2.9,33.3,72.55,72.47,65.13,74.8
UAL,death,8.5,29.8,93.94,99.11,99.3,92.21
JBHT,golden_st,0.9,20.3,209.88,209.8,185.87,214.91
WF,death_st,0.1,16.1,67.3,67.3,58.5,66.04
HII,death_st,0.5,15.6,402.89,403.01,337.64,396.62
HAS,death_st,1.7,12.7,92.51,92.57,83.16,90.16
GLPI,death,2.5,12.6,45.94,46.26,46.26,44.42
MDGL,golden_st,0.4,12.5,480.96,477.56,450.68,546.89
SCI,golden_st,1.2,12.1,80.67,80.54,80.35,84.77
ELAN,death_st,5.6,11.5,24.08,24.12,20.97,23.08
EGP,golden_st,0.4,10.0,186.84,186.76,179.65,188.41
KNX,golden_st,3.0,9.5,56.33,56.3,51.66,58.6
CYTK,golden_st,2.2,8.2,63.43,63.28,57.27,66.73
NNN,death_st,1.5,8.1,43.17,43.18,42.32,42.77
SIRI,golden,3.8,8.0,22.6,22.04,22.03,23.79
ALKS,golden_st,2.8,5.8,30.65,30.55,30.18,34.84
FLG,golden_st,5.4,5.6,12.98,12.98,12.41,13.48
FCN,golden,0.5,5.6,171.15,169.64,169.59,183.33
COMP,death,16.9,5.2,8.1,9.19,9.19,7.07
AIRR,golden_st,0.7,,111.71,111.69,100.98,112.87
DES,golden_st,0.1,,35.89,35.87,34.61,36.26
HDEF,golden_st,0.3,,32.22,32.21,30.59,32.58
SCHY,golden_st,0.8,,31.62,31.62,29.61,31.87
XLB,golden_st,17.3,,49.68,49.68,47.1,50.41
AIA,death_st,0.5,,107.83,107.95,97.6,105.62
GBIL,death_st,1.0,,100.07,100.07,100.06,99.94
USFR,death_st,5.7,,50.38,50.38,50.37,50.36
BSCT,death,0.8,,18.68,18.75,18.75,18.675
DIAL,death,0.1,,18.14,18.27,18.27,18.09
UBND,death,0.2,,21.82,21.92,21.92,21.84
BILS,death,0.5,,99.31,99.31,99.32,99.2
BSCR,death,0.8,,19.65,19.68,19.68,19.645
BSCU,death,0.7,,16.75,16.83,16.83,16.75
IBDS,death,0.6,,24.21,24.24,24.24,24.16
IBDV,death,0.8,,21.89,21.98,21.98,21.84
IBND,death,0.2,,31.27,31.66,31.67,31.04
IVES,death,0.5,,29.22,30.11,30.14,28.8
