symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21_current,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,golden_st,death_st,cross_days_ago_st,status
PBR.A,death_cross,0,8.4,75.2,,11.72,11.73,False,True,11.25,False,False,,success
VEEV,death_cross,0,1.6,36.2,,260.79,261.61,False,True,219.3,False,False,,success
MGM,golden_cross,0,4.5,10.2,,34.41,34.4,True,False,36.84,False,False,,success
SUN,death_cross,0,0.7,10.0,,53.24,53.26,False,True,52.31,False,False,,success
SNV,golden_cross,0,0.8,7.3,,48.65,48.55,True,False,52.54,False,False,,success
HRI,golden_cross,0,0.4,5.1,,136.68,136.53,True,False,156.24,False,False,,success
KITTW,golden_cross,0,0.2,,,0.06,0.06,True,False,0.115,False,False,,success
UBRL,death_cross,0,0.2,,,29.35,29.42,False,True,23.16,False,False,,success
OVV,death_cross,0,3.7,9.9,,39.65,39.68,False,True,37.28,False,False,,success
