symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
BUD,death_st,0,1.7,153.8,80.69,80.84,75.25,77.92
PGR,golden_st,1,2.9,126.3,212.78,212.08,214.92,220.34
PBR,golden_st,1,15.4,119.5,18.28,18.22,16.98,19.01
PBR.A,golden_st,0,6.8,107.4,16.35,16.31,15.42,17.04
TT,death_st,0,1.1,100.2,470.21,470.55,448.36,451.1
TEL,death,0,2.5,58.9,209.5,208.58,208.79,200.54
CBRE,golden,0,1.6,44.9,147.63,143.64,143.59,151.79
WEC,death,3,2.3,35.6,110.23,111.74,111.96,108.51
PUK,death,4,1.1,34.6,28.24,28.4,28.46,27.57
BCE,golden_st,0,3.8,22.1,22.81,22.76,23.49,23.78
TW,golden_st,3,1.5,21.8,103.35,102.95,109.57,106.1
AS,death,0,5.3,19.8,34.34,34.72,34.78,32.53
HTHT,golden_st,0,1.6,14.9,43.82,43.64,44.71,49.54
ALLY,death_st,1,3.1,13.1,43.96,44.1,42.38,42.29
FNF,death_st,0,1.5,13.0,49.47,49.5,51.24,47.44
NYT,death,0,2.0,10.6,67.9,70.87,70.9,65.3
