symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
BKNG,golden_cross,0.3,170.9,,5129.85,5122.9,5457.7
UNP,golden_cross,3.3,142.3,,228.29,228.07,240.47
SPOT,death_cross,2.1,123.1,,623.81,624.85,577.15
SLB,golden_cross,14.7,58.9,,36.56,36.53,38.9
FTV,golden_cross,2.9,17.4,,51.86,51.79,55.35
SN,golden_cross,2.1,15.9,,100.13,99.77,113.62
OVV,death_cross,3.6,10.2,,39.75,39.76,39.24
PSN,death_cross,1.8,6.7,,78.37,78.51,61.61
OPCH,golden_cross,2.2,5.3,,29.61,29.55,33.54
MC,golden_cross,0.9,5.2,,66.66,66.65,69.41
DPST,golden_cross,0.7,,,94.55,94.4,111.89
MVSTW,death_cross,0.1,,,0.25,0.25,0.1355
TLT,death_cross,32.6,,,89.15,89.2,87.4
WCLD,death_cross,0.3,,,34.94,34.95,34.6692
STVN,death_cross,0.4,5.7,,23.21,23.27,21.3
MNTSW,death_cross,0.2,,,0.03,0.03,0.0183
