symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
PDD,death_cross,0,9.0,151.6,,117.43,117.49,106.76
O,golden_cross,0,6.5,56.4,,57.98,57.92,61.42
VST,death_cross,0,5.5,56.4,,171.87,172.02,166.6
AIG,death_cross,0,6.0,39.4,,79.5,79.52,72.93
ODFL,golden_cross,0,2.2,36.7,,156.7,156.48,175.65
STLA,death_cross,0,11.0,27.7,,10.78,10.79,9.6
MRNA,golden_cross,0,11.4,16.3,,31.16,31.08,41.83
GGG,golden_cross,0,0.7,14.6,,83.73,83.68,87.92
RBRK,death_cross,0,4.1,13.4,,75.32,75.47,67.1
CART,death_cross,0,4.5,10.3,,42.63,42.68,39.41
XP,golden_cross,0,5.7,9.0,,17.37,17.37,17.4
QRVO,death_cross,0,1.0,7.4,,85.57,85.6,80.11
OZK,golden_cross,0,1.1,5.4,,47.25,47.24,48.5
USFR,golden_cross,0,3.9,,,50.35,50.35,50.42
USRT,golden_cross,0,0.5,,,57.78,57.77,59.63
CLOU,death_cross,0,0.1,,,22.72,22.76,21.34
SPIP,death_cross,0,0.2,,,26.08,26.09,25.985
YEAR,death_cross,0,0.2,,,50.57,50.57,50.54
MLPX,golden_cross,0,0.4,,,60.33,60.32,62.33
