event_date,ticker,cross_type,probability,look_threshold_pct,look_margin_pct,recommendation,rank
2025-12-30,ON,golden,37.85,70.0,-32.15,SKIP,1
2025-12-30,IONX,death,29.35,70.0,-40.65,SKIP,2
2025-12-30,ORCL,death,23.71,70.0,-46.29,SKIP,3
2025-12-30,COO,golden,23.04,70.0,-46.96,SKIP,4
2025-12-30,ALSN,golden,18.48,70.0,-51.52,SKIP,5
2025-12-30,J,death,15.82,70.0,-54.18,SKIP,6
2025-12-30,TDTT,death,15.14,70.0,-54.86,SKIP,7
2025-12-30,DUK,death,13.58,70.0,-56.42,SKIP,8
2025-12-30,ABNB,golden,12.43,70.0,-57.57,SKIP,9
2025-12-30,DFGX,death,12.37,70.0,-57.63,SKIP,10
2025-12-30,RGA,golden,10.98,70.0,-59.02,SKIP,11
