symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
WSO,golden,0.6,18.6,418.06,402.05,401.19,438.47
EG,golden,0.3,13.7,340.07,334.79,334.51,347.07
MEDP,death,0.4,12.0,471.61,484.3,485.17,409.65
PRI,golden,0.2,8.8,270.32,263.78,263.43,280.8
BILS,golden,0.4,,99.33,99.32,99.31,99.41
BUZZ,golden,0.2,,32.47,31.83,31.81,33.491
WINN,golden,0.1,,30.32,29.81,29.77,31.33
SHM,death,0.2,,47.95,48.01,48.01,47.92
SPAB,death,4.7,,25.66,25.7,25.7,25.62
VTES,death,0.2,,101.36,101.52,101.53,101.32
GME,golden,6.6,11.4,24.35,23.84,23.81,25.09
TBIL,death,2.4,,49.93,49.93,49.93,49.85
