symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
PM,golden_cross,5.6,253.1,,157.48,157.43,165.16
DHI,golden_cross,3.2,45.8,,150.76,150.73,159.71
FWONK,death_cross,1.4,22.6,,96.19,96.3,90.57
NTAP,death_cross,1.8,20.9,,111.09,111.19,107.03
RS,golden_cross,0.3,16.1,,290.08,289.79,310.06
ENTG,golden_cross,2.6,15.6,,88.7,88.43,101.84
PAA,golden_cross,2.8,13.1,,17.61,17.6,18.78
WTRG,golden_cross,1.8,10.8,,38.7,38.7,39.15
SUN,golden_cross,0.4,10.6,,53.4,53.32,57.27
SAIA,golden_cross,0.5,9.8,,323.49,322.86,365.68
CGNX,golden_cross,1.7,6.5,,38.42,38.4,39.43
LSTR,golden_cross,0.4,5.3,,141.01,140.76,155.16
XHB,golden_cross,1.9,,,106.58,106.57,113.63
MSFL,death_cross,0.2,,,27.99,28.01,26.34
SPYD,golden_cross,1.7,,,43.55,43.54,44.2
