symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,status
PDD,death_cross,0,8.6,159.1,119.45,119.59,False,True,113.44,success
VRTX,golden_cross,0,1.4,116.5,436.05,435.87,True,False,462.99,success
ON,golden_cross,0,9.5,22.4,52.15,52.08,True,False,55.08,success
CART,golden_cross,0,5.0,11.8,42.58,42.58,True,False,45.65,success
BXP,death_cross,0,1.3,10.9,70.76,70.79,False,True,69.22,success
SEIC,golden_cross,0,0.6,10.5,82.67,82.64,True,False,85.37,success
CLIP,golden_cross,0,0.3,,100.26,100.25,True,False,100.36,success
NFXS,golden_cross,0,0.1,,15.8,15.78,True,False,17.2965,success
COMT,death_cross,0,0.3,,26.28,26.29,False,True,25.11,success
FLOT,death_cross,0,1.2,,50.93,50.93,False,True,50.815,success
ICLO,death_cross,0,0.1,,25.59,25.59,False,True,25.52,success
UUP,death_cross,0,1.3,,27.89,27.92,False,True,26.95,success
