symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
PDD,death,0,8.6,159.1,,119.45,119.59,113.44
VRTX,golden,0,1.4,116.5,,436.05,435.87,462.99
ON,golden,0,9.5,22.4,,52.15,52.08,55.08
CART,golden,0,5.0,11.8,,42.58,42.58,45.65
BXP,death,0,1.3,10.9,,70.76,70.79,69.22
SEIC,golden,0,0.6,10.5,,82.67,82.64,85.37
CLIP,golden,0,0.3,,,100.26,100.25,100.36
NFXS,golden,0,0.1,,,15.8,15.78,17.2965
COMT,death,0,0.3,,,26.28,26.29,25.11
FLOT,death,0,1.2,,,50.93,50.93,50.815
ICLO,death,0,0.1,,,25.59,25.59,25.52
UUP,death,0,1.3,,,27.89,27.92,26.95
