symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
TSLA,death_st,2,46.7,1408.8,398.11,401.69,397.15,379.71
RIO,death_st,0,2.7,154.7,100.6,100.77,88.71,93.74
BKNG,golden_st,0,8.3,137.2,170.62,170.01,184.28,181.46
VRTX,golden,2,1.7,121.9,456.77,449.02,446.69,491.34
SO,golden_st,1,6.7,108.1,94.01,93.8,92.76,97.16
SHW,golden_st,0,2.7,83.6,319.53,318.4,331.69,344.07
KMI,golden_st,0,10.1,73.4,32.16,32.15,30.55,33.19
TEL,death,0,2.6,58.4,207.96,210.59,210.96,197.74
XEL,golden_st,0,6.1,51.0,79.56,79.49,77.83,82.23
VTR,golden_st,0,4.1,42.5,84.73,84.72,80.03,89.05
WCN,golden_st,0,1.9,42.2,158.18,158.05,166.52,167.9
ED,golden_st,0,2.7,40.8,108.01,107.99,106.02,112.06
PUK,death,0,1.4,33.3,27.24,28.4,28.45,26.62
SHG,death_st,0,0.3,29.2,65.0,65.02,59.17,60.28
TS,death_st,0,1.4,29.0,59.66,59.78,51.28,56.03
CMS,golden_st,0,3.4,23.8,74.37,74.29,73.79,78.81
LH,golden_st,0,0.6,21.8,262.56,262.49,263.77,271.47
RCI,death_st,0,1.1,18.8,36.86,36.92,36.09,34.84
DD,death_st,0,1.4,18.6,141.62,141.82,129.71,137.22
RGLD,death,0,0.7,17.4,213.32,224.57,224.82,207.95
ASND,golden_st,1,0.8,17.2,233.35,231.11,216.33,260.75
NLY,golden_st,1,8.0,16.5,22.1,22.05,21.93,22.95
EMA,golden_st,3,0.4,16.3,52.41,52.24,50.38,53.8
CLH,golden_st,0,0.5,15.8,291.07,290.7,270.22,301.65
GPC,golden_st,0,1.8,15.6,105.31,104.81,115.57,116.02
COO,golden_st,0,3.4,13.8,66.37,66.17,71.88,71.02
RGA,golden_st,3,0.4,13.7,208.54,208.04,203.76,215.28
WMG,death,3,2.4,13.7,28.79,29.45,29.71,26.96
EG,golden_st,0,0.5,13.6,340.45,339.79,336.45,355.52
IONS,golden_st,0,1.9,12.9,75.67,75.38,70.69,81.18
CNA,golden_st,0,0.6,12.7,45.32,45.19,46.24,48.36
TXRH,golden,0,1.2,12.5,177.19,173.52,173.11,196.59
AGNC,golden,2,15.0,12.2,10.45,10.48,10.47,10.9
AMH,golden,0,2.9,12.0,32.58,31.94,31.93,34.09
WMS,golden_st,0,1.1,11.9,141.94,141.82,142.77,154.5
TTC,golden_st,0,1.1,9.2,92.35,92.33,87.93,96.83
AXS,golden,3,0.7,7.7,101.89,100.65,100.08,108.72
STAG,golden_st,2,1.3,7.5,38.32,38.17,37.65,39.42
PB,golden,3,1.0,7.4,71.19,70.04,69.65,74.36
RYTM,golden,1,0.8,7.4,96.21,92.56,91.7,109.84
CPB,golden_st,0,11.2,6.7,21.64,21.61,25.54,22.73
COGT,golden_st,0,2.8,6.5,34.79,34.67,30.6,38.1
SRRK,golden_st,3,1.6,6.4,48.69,47.74,43.73,54.76
POR,golden_st,1,1.4,6.0,50.64,50.52,49.06,52.53
BKH,golden_st,1,1.1,5.7,73.35,73.19,70.09,76.04
NJR,golden_st,2,0.7,5.7,55.73,55.5,52.14,57.61
REYN,golden,0,1.1,5.5,23.78,22.81,22.81,26.82
FFIN,golden,0,1.0,5.0,33.3,32.58,32.56,35.24
FXU,golden_st,0,0.3,,48.7,48.63,47.28,50.24
SPLV,golden_st,2,2.8,,73.87,73.66,73.38,75.76
TMF,golden_st,0,3.7,,35.49,35.43,37.28,36.65
DBB,death_st,0,0.4,,25.11,25.11,23.45,24.27
FGD,death_st,0,0.2,,33.18,33.19,31.43,32.15
FYLD,death_st,1,0.1,,37.82,37.9,35.27,36.5
LIT,death_st,0,0.5,,81.24,81.52,70.84,75.93
PICK,death_st,0,0.9,,62.29,62.37,55.68,57.96
EWZS,death,1,0.3,,13.29,13.85,13.88,13.0572
GOOY,death,0,0.7,,13.65,14.01,14.04,12.62
NLR,death,2,0.5,,124.5,130.0,131.09,116.3
