symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
BAC,death_st,0,33.7,405.3,60.29,60.5,56.02,56.2
BKNG,death,0,6.6,126.6,181.68,186.86,187.5,164.22
COF,death_st,0,3.3,125.7,209.12,209.55,206.21,200.55
IBN,death,0,4.7,101.6,29.06,29.22,29.23,28.04
USB,death_st,1,6.9,94.2,61.69,61.84,57.47,59.44
CEG,death_st,0,2.8,92.9,271.91,272.37,286.94,263.46
KKR,death_st,0,4.1,90.5,102.68,102.9,105.71,98.44
UPS,death,0,4.4,80.6,100.85,103.44,103.56,95.87
APO,death_st,0,2.9,75.5,129.05,129.07,128.45,124.15
AMX,death,0,3.0,67.1,23.06,23.83,23.84,22.29
AEP,death,0,3.6,65.3,122.64,125.25,125.33,120.27
RJF,death_st,0,1.2,31.8,170.57,170.71,163.16,159.39
KHC,death_st,3,20.0,28.9,24.82,24.94,24.63,24.0
ARES,death_st,0,2.2,28.8,132.05,132.37,134.55,124.72
CBOE,death_st,4,1.0,28.3,283.46,287.4,282.24,266.83
QSR,death_st,0,3.1,25.3,75.88,76.0,73.85,71.91
SYF,death_st,0,3.2,24.4,76.4,76.56,74.34,72.67
TW,death_st,0,1.2,22.0,103.57,103.71,108.9,99.74
WPC,death,0,1.3,15.1,68.9,70.55,70.6,66.89
TRU,death_st,1,2.2,13.7,77.38,78.0,77.56,71.87
HAS,death_st,0,1.5,12.4,90.53,90.59,87.91,86.91
AGNC,death,0,26.1,11.8,10.32,10.54,10.54,10.09
JKHY,death,0,1.1,10.6,158.85,156.83,156.86,149.1
TPG,death,0,2.9,7.8,48.65,48.11,48.17,45.62
PRMB,death,0,4.3,7.4,21.5,22.38,22.44,19.64
OR,golden,0,1.0,6.8,36.13,34.99,34.92,37.55
SBRA,death_st,1,2.3,5.1,20.37,20.42,19.9,19.81
GPIQ,golden_st,0,1.4,,56.71,56.67,54.98,58.34
SDOW,golden_st,0,3.5,,24.07,24.05,28.26,24.89
SPMO,golden_st,1,1.8,,148.33,148.04,137.29,153.3
EIDO,death_st,0,1.1,,12.67,12.69,14.37,12.16
