symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,status
SPGI,golden_cross,0,1.4,162.8,510.32,509.78,True,False,541.56,success
VST,death_cross,0,4.4,52.4,172.09,172.46,False,True,150.6,success
HLN,golden_cross,0,9.6,44.8,9.77,9.77,True,False,10.04,success
FICO,death_cross,0,0.2,37.5,1706.15,1708.85,False,True,1585.6,success
NTAP,death_cross,0,2.0,20.7,111.5,111.68,False,True,105.55,success
SARO,golden_cross,0,1.5,10.2,27.97,27.94,True,False,30.64,success
FRT,golden_cross,0,0.6,8.8,99.48,99.44,True,False,102.8,success
TTC,golden_cross,0,1.1,8.2,76.38,76.11,True,False,87.87,success
CWAN,golden_cross,0,12.1,7.1,21.82,21.77,True,False,24.09,success
PB,golden_cross,0,0.8,6.8,69.35,69.31,True,False,71.95,success
DBX,death_cross,0,3.6,6.8,28.57,28.59,False,True,27.46,success
CGNX,death_cross,0,1.7,6.4,38.36,38.36,False,True,37.74,success
ETSY,golden_cross,0,3.1,6.1,57.78,57.73,True,False,61.23,success
AMZU,golden_cross,0,1.8,,36.24,36.22,True,False,39.6,success
PAAA,golden_cross,0,1.4,,51.32,51.31,True,False,51.35,success
IVOL,death_cross,0,0.7,,19.24,19.24,False,True,18.97,success
