symbol,signal_type,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
RY,death_st,1.3,227.6,166.55,166.61,152.23,161.26
UL,death_st,3.8,140.7,68.55,68.68,68.21,64.05
SYK,death_st,2.1,129.0,364.12,365.24,369.19,336.77
BNS,death_st,2.0,86.2,73.21,73.46,66.55,68.75
UPS,death_st,6.6,83.1,107.2,107.52,102.89,97.21
SHW,death,1.8,78.7,342.36,346.53,346.66,319.78
MDLZ,death_st,10.9,69.7,58.02,58.12,60.07,54.89
AFL,death_st,2.4,56.6,111.5,111.55,109.41,108.71
NDAQ,death,5.8,47.8,86.55,88.64,88.67,85.53
FER,death_st,1.3,46.3,68.44,68.49,61.52,63.21
NRG,death_st,3.0,32.3,161.28,161.32,152.86,152.87
MTB,death_st,1.3,29.5,213.96,214.83,202.21,196.26
DXCM,death_st,4.7,25.1,69.59,69.74,71.33,64.24
PHM,death_st,1.8,23.1,129.6,129.81,124.16,119.19
PPG,death_st,2.3,22.5,113.73,114.19,110.64,101.89
AER,death_st,1.7,21.7,142.91,143.28,130.37,133.04
AMCR,death_st,6.0,18.6,44.95,45.07,44.71,40.57
EG,death_st,0.4,13.0,330.79,331.04,335.66,320.36
WCC,death_st,0.7,12.5,279.33,279.67,244.31,256.11
MAS,death,2.9,12.4,67.36,68.37,68.48,61.52
UDR,death_st,4.2,11.8,37.08,37.08,37.91,35.41
GIL,death_st,1.6,11.0,65.28,65.57,59.44,58.66
CR,death_st,0.5,10.3,193.34,194.49,186.81,171.22
SPXC,death_st,0.4,10.1,217.28,217.72,198.33,199.45
AES,death_st,15.4,10.1,14.91,14.94,14.01,14.19
AOS,death_st,1.4,9.2,72.81,73.02,70.79,66.84
AUR,death_st,18.4,8.3,4.48,4.48,5.06,4.08
FRHC,golden_st,0.1,8.2,127.3,127.28,138.82,131.99
CAG,death_st,13.8,7.7,18.2,18.23,19.43,16.41
TX,death_st,0.2,7.5,41.11,41.21,37.27,37.73
VIPS,death,1.9,7.5,16.63,17.28,17.28,16.0
JXN,death_st,0.7,7.4,110.72,111.0,102.43,104.69
PRIM,death_st,0.8,7.1,144.31,144.71,123.52,133.5
AAL,death,71.8,7.0,12.3,13.28,13.35,10.3
ESAB,death,0.5,6.3,115.44,118.46,118.63,97.93
MHK,death,1.0,6.3,115.07,118.16,118.48,102.55
RHP,death_st,0.5,5.8,97.0,97.07,96.54,89.87
RLI,golden_st,0.8,5.7,61.37,61.35,65.07,61.83
UBSI,death_st,0.9,5.5,41.25,41.32,39.03,39.18
WH,death_st,1.5,5.5,77.89,78.02,80.64,73.41
ACA,death_st,0.3,5.3,113.79,114.24,104.13,105.68
VNT,death_st,1.3,5.1,39.05,39.11,38.52,36.01
CLF,death,19.9,5.1,10.47,11.54,11.59,8.46
METD,golden_st,0.5,,15.92,15.88,16.1,16.82
RWM,golden_st,26.6,,15.77,15.73,16.84,16.44
SKRE,golden_st,0.2,,8.37,8.33,9.93,9.31
TWM,golden_st,1.0,,29.39,29.36,34.39,31.83
ACWI,death_st,7.5,,144.05,144.22,137.73,139.54
AGG,death_st,9.3,,100.25,100.3,99.78,99.21
AOA,death_st,0.2,,91.37,91.39,87.78,88.81
AOK,death_st,0.2,,40.64,40.67,39.95,39.92
AOM,death_st,0.1,,48.38,48.39,47.28,47.46
AOR,death_st,0.5,,66.12,66.13,64.05,64.57
ARKQ,death_st,0.2,,121.79,121.97,109.25,117.27
BACpN,death_st,0.1,,21.16,21.16,21.08,20.7
BIV,death_st,2.2,,78.03,78.08,77.66,77.16
BKAG,death_st,0.1,,42.55,42.57,42.38,42.09
BLCR,death_st,2.7,,42.72,42.75,40.05,41.746
BND,death_st,9.4,,74.33,74.37,74.01,73.55
CALF,death_st,1.1,,45.47,45.5,43.92,44.19
CGBL,death_st,1.3,,35.91,35.93,34.74,34.94
CGCB,death_st,1.4,,26.63,26.64,26.51,26.34
CGNG,death_st,0.7,,33.25,33.27,31.15,31.55
DCOR,death_st,0.1,,74.75,74.86,71.77,72.545
DFAC,death_st,3.4,,40.33,40.37,38.62,39.08
DFAS,death_st,0.6,,73.31,73.32,69.66,70.14
DFCF,death_st,1.0,,42.8,42.8,42.58,42.31
DMXF,death_st,0.1,,78.59,78.66,75.95,75.16
EAGG,death_st,0.4,,48.02,48.04,47.81,47.53
EEMV,death_st,0.4,,66.38,66.46,64.46,64.17
EPOL,death_st,0.7,,36.4,36.48,33.65,34.48
EUAD,death_st,0.6,,45.15,45.17,42.27,43.02
EWN,death_st,0.1,,60.62,60.69,57.18,58.63
EWP,death_st,0.7,,54.81,54.85,49.99,52.45
FESM,death_st,0.8,,39.2,39.28,36.83,37.54
FIGB,death_st,0.1,,43.56,43.57,43.4,43.13
FLCB,death_st,0.4,,21.7,21.71,21.62,21.48
FLGV,death_st,0.2,,20.6,20.61,20.56,20.435
FLQL,death_st,0.1,,70.37,70.47,67.51,68.44
FMDE,death_st,1.1,,37.03,37.08,35.88,35.78
FSEC,death_st,0.2,,44.39,44.4,44.09,44.035
FTXR,death_st,1.2,,40.24,40.31,37.14,37.29
GOVI,death_st,0.8,,27.75,27.75,27.66,27.325
GOVT,death_st,12.8,,23.11,23.11,23.03,22.915
GOVZ,death_st,1.6,,9.45,9.46,9.59,9.13
HEQT,death_st,0.1,,32.22,32.22,31.39,31.65
HYEM,death_st,0.2,,20.07,20.07,19.94,19.9
IBTK,death_st,0.2,,19.87,19.87,19.8,19.745
IBTL,death_st,0.1,,20.57,20.57,20.49,20.4247
IEI,death_st,2.2,,119.51,119.54,119.1,118.75
IEV,death_st,0.3,,70.68,70.71,66.77,67.39
IMCG,death_st,0.1,,82.11,82.25,80.79,79.4
IMTM,death_st,0.8,,50.3,50.33,47.64,47.65
JAVA,death_st,0.5,,74.15,74.16,70.54,71.54
JCPB,death_st,1.6,,47.56,47.58,47.34,47.04
JMBS,death_st,0.8,,45.89,45.9,45.55,45.44
JPLD,death_st,0.6,,52.49,52.49,52.31,52.325
LITP,death_st,0.2,,13.12,13.12,10.82,12.39
MFSI,death_st,0.3,,30.96,31.02,29.63,29.71
OMFL,death_st,0.4,,62.26,62.27,60.11,61.06
PFXF,death_st,0.6,,18.15,18.15,17.83,17.77
PJAN,death_st,0.1,,47.01,47.04,45.74,46.37
PRIV,death_st,0.8,,25.51,25.52,25.38,25.185
QUAL,death_st,2.2,,201.0,201.22,194.24,195.15
RSPA,death_st,0.2,,51.95,52.0,51.16,50.61
RSPT,death_st,0.3,,46.48,46.52,44.08,45.66
SCHA,death_st,3.9,,29.89,29.9,28.25,28.71
SCHE,death_st,3.1,,34.16,34.23,32.64,32.93
SCHQ,death_st,1.1,,32.06,32.07,32.05,31.4
SCHR,death_st,2.6,,25.12,25.13,25.04,24.94
SCIO,death_st,0.2,,20.85,20.85,20.75,20.75
SCMB,death_st,1.0,,25.9,25.9,25.69,25.72
SMBS,death_st,0.6,,25.79,25.8,25.62,25.56
SPAB,death_st,3.2,,25.85,25.86,25.73,25.58
SPEM,death_st,3.8,,48.76,48.83,46.37,46.95
SPTB,death_st,0.2,,30.54,30.55,30.5,30.275
SPTI,death_st,2.3,,28.9,28.9,28.79,28.69
TLH,death_st,1.6,,102.65,102.66,102.32,100.62
TLTW,death_st,1.9,,22.98,23.01,23.19,22.5
TMF,death_st,6.1,,38.92,38.94,39.61,36.4
UITB,death_st,0.1,,47.52,47.53,47.31,46.9747
