symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_50_current,ema_200_current,golden_cross,death_cross,current_price,status
PBR.A,golden_cross,0,8.1,85.8,11.76,11.73,True,False,13.41,success
TDG,golden_cross,0,0.3,80.1,1361.94,1361.65,True,False,1435.96,success
DELL,death_cross,0,6.5,76.5,126.79,127.08,False,True,115.93,success
ARES,death_cross,0,2.2,34.3,164.45,164.76,False,True,149.69,success
HUM,death_cross,0,1.1,32.1,264.94,264.94,False,True,263.63,success
WRB,death_cross,0,2.7,25.5,70.32,70.39,False,True,66.88,success
PBA,golden_cross,0,1.3,23.5,38.37,38.34,True,False,40.61,success
SUZ,golden_cross,0,2.3,12.2,9.38,9.38,True,False,9.79,success
PNW,golden_cross,0,1.2,11.0,89.96,89.93,True,False,92.94,success
BCPC,golden_cross,0,0.2,5.4,158.48,158.42,True,False,166.65,success
CLOI,golden_cross,0,0.3,,52.89,52.89,True,False,53.02,success
PEY,golden_cross,0,0.3,,20.88,20.88,True,False,21.41,success
VDC,golden_cross,0,0.2,,216.41,216.36,True,False,225.25,success
FTSL,death_cross,0,0.3,,45.92,45.92,False,True,45.72,success
BALL,golden_cross,0,2.4,15.4,52.79,52.67,True,False,57.21,success
SPHD,golden_cross,0,0.8,,48.53,48.5,True,False,49.59,success
