symbol,signal_type,cross_days_ago,avg_daily_volume_30d,market_cap,ema_21,ema_50,ema_200,current_price
PFE,golden,0,39.1,153.2,26.02,25.63,25.61,27.25
CVS,death_st,0,8.3,120.2,99.28,99.37,87.92,94.91
BN,death_st,1,4.2,95.4,43.51,43.63,43.59,42.13
BAM,golden,1,2.6,84.0,51.36,49.44,49.36,51.47
BSX,golden_st,0,18.5,74.5,48.8,48.76,65.18,50.47
VLTO,golden,0,1.6,23.6,95.71,93.01,92.94,96.07
LYB,golden_st,0,4.7,20.9,61.78,61.74,60.92,65.33
DKS,death,1,1.3,17.6,204.43,210.62,211.55,191.52
COO,golden,0,2.0,14.6,74.13,71.74,71.63,75.76
OHI,death_st,0,1.8,14.1,47.93,48.01,45.83,46.44
LEVI,death_st,0,2.8,8.7,23.54,23.62,22.04,22.01
UGI,golden_st,0,1.8,7.5,35.76,35.67,35.69,38.39
